Date,Housing Cost Index
31-Jan-02,107.45
28-Feb-02,205.38
31-Mar-02,315.09
30-Apr-02,437.94
31-May-02,534.43
30-Jun-02,630.91
31-Jul-02,754.6
31-Aug-02,866.11
30-Sep-02,959.07
31-Oct-02,1067.21
30-Nov-02,1160.26
31-Dec-02,1253.27
31-Jan-03,1356.9
28-Feb-03,1428.2
31-Mar-03,1502.33
30-Apr-03,1593.89
31-May-03,1678.7
30-Jun-03,1783.42
31-Jul-03,1869.79
31-Aug-03,1948.61
30-Sep-03,2070.6
31-Oct-03,2167.21
30-Nov-03,2268.22
31-Dec-03,2346.85
31-Jan-04,2438.68
29-Feb-04,2540.35
31-Mar-04,2623.08
30-Apr-04,2728.72
31-May-04,2819.71
30-Jun-04,2915.33
31-Jul-04,3006.31
31-Aug-04,3134.09
30-Sep-04,3233.89
31-Oct-04,3318.02
30-Nov-04,3430.36
31-Dec-04,3512.05
31-Jan-05,3615.18
28-Feb-05,3685.79
31-Mar-05,3765.86
30-Apr-05,3868.82
31-May-05,3979.89
30-Jun-05,4082.47
31-Jul-05,4180.73
31-Aug-05,4276.21
30-Sep-05,4354.04
31-Oct-05,4443.24
30-Nov-05,4536.33
31-Dec-05,4652.19
31-Jan-06,4757.34
28-Feb-06,4830.89
31-Mar-06,4935.76
30-Apr-06,5029.98
31-May-06,5119.83
30-Jun-06,5229
31-Jul-06,5344.47
31-Aug-06,5458.44
30-Sep-06,5545.85
31-Oct-06,5641.21
30-Nov-06,5746.18
31-Dec-06,5860.81
31-Jan-07,5953.62
28-Feb-07,6050.84
31-Mar-07,6134.24
30-Apr-07,6216.3
31-May-07,6328.49
30-Jun-07,6448.83
31-Jul-07,6547.75
31-Aug-07,6662.8
30-Sep-07,6768.23
31-Oct-07,6858.55
30-Nov-07,6963.97
31-Dec-07,7087.04
31-Jan-08,7186.51
29-Feb-08,7309.98
31-Mar-08,7370.68
30-Apr-08,7483.01
31-May-08,7584.31
30-Jun-08,7679.83
31-Jul-08,7781.21
31-Aug-08,7851.39
30-Sep-08,7948.1
31-Oct-08,8053.45
30-Nov-08,8175.62
31-Dec-08,8267.85
31-Jan-09,8355.72
28-Feb-09,8448.19
31-Mar-09,8561.93
30-Apr-09,8666.86
31-May-09,8758.91
30-Jun-09,8866.61
31-Jul-09,8968.07
31-Aug-09,9082.59
30-Sep-09,9172.06
31-Oct-09,9267.15
30-Nov-09,9361.27
31-Dec-09,9439.31
31-Jan-10,9543.76
28-Feb-10,9647.67
31-Mar-10,9747.75
30-Apr-10,9844.23
31-May-10,9923
30-Jun-10,10016.69
31-Jul-10,10111.55
31-Aug-10,10199.52
30-Sep-10,10297.1
31-Oct-10,10403.16
30-Nov-10,10531.45
31-Dec-10,10634.07
31-Jan-11,10737.93
28-Feb-11,10836.81
31-Mar-11,10908.03
30-Apr-11,11007.64
31-May-11,11108.54
30-Jun-11,11245.49
31-Jul-11,11342.6
31-Aug-11,11447.13
30-Sep-11,11546.6
31-Oct-11,11629.07
30-Nov-11,11746.22
31-Dec-11,11857.5
31-Jan-12,11969.36
29-Feb-12,12055.72
31-Mar-12,12176.76
30-Apr-12,12255.73
31-May-12,12364.54
30-Jun-12,12497.39
31-Jul-12,12582.54
31-Aug-12,12674.04
30-Sep-12,12775.54
31-Oct-12,12867.98
30-Nov-12,12944.72
31-Dec-12,13045.75
31-Jan-13,13129.82
28-Feb-13,13236.92
31-Mar-13,13323.13
30-Apr-13,13446.38
31-May-13,13534.63
30-Jun-13,13629.8
31-Jul-13,13742
31-Aug-13,13823.54
30-Sep-13,13926.95
31-Oct-13,14046.56
30-Nov-13,14122.45
31-Dec-13,14225.22
31-Jan-14,14329.11
28-Feb-14,14440.84
31-Mar-14,14522.29
30-Apr-14,14602.48
31-May-14,14710.31
30-Jun-14,14814.76
31-Jul-14,14918.52
31-Aug-14,15023.72
30-Sep-14,15113.52
31-Oct-14,15217
30-Nov-14,15321.4
31-Dec-14,15410.68
31-Jan-15,15538.67
28-Feb-15,15645.78
31-Mar-15,15727.91
30-Apr-15,15837.76
31-May-15,15923.14
30-Jun-15,16034.94
31-Jul-15,16152.32
31-Aug-15,16240.01
30-Sep-15,16354.46
31-Oct-15,16460.65
30-Nov-15,16572.98
31-Dec-15,16701.44
31-Jan-16,16797.75
29-Feb-16,16886.45
31-Mar-16,16973.11
30-Apr-16,17060.87
31-May-16,17159.71
30-Jun-16,17264.83
31-Jul-16,17368.98
31-Aug-16,17481.39
30-Sep-16,17581.58
31-Oct-16,17703.39
30-Nov-16,17799.42
31-Dec-16,17940.22
31-Jan-17,18049.6
28-Feb-17,18136.75
31-Mar-17,18220.68
30-Apr-17,18327.92
31-May-17,18424.57
30-Jun-17,18535.28
31-Jul-17,18642.38
31-Aug-17,18741.28
30-Sep-17,18828.58
31-Oct-17,18905.86
30-Nov-17,18999.16
31-Dec-17,19112.01
31-Jan-18,19215.22
28-Feb-18,19296.53
31-Mar-18,19399.13
30-Apr-18,19504.91
31-May-18,19591.65
30-Jun-18,19693.96
31-Jul-18,19794.83
31-Aug-18,19877.69
30-Sep-18,19983.05
31-Oct-18,20091.47
30-Nov-18,20207.71
31-Dec-18,20323.52
31-Jan-19,20402.85
28-Feb-19,20488.79
31-Mar-19,20596.51
30-Apr-19,20704.22
31-May-19,20811.94
30-Jun-19,20969.74
31-Jul-19,21078.3
31-Aug-19,21195.33
30-Sep-19,21309.64
31-Oct-19,21419.41
30-Nov-19,21514.68
31-Dec-19,21626.07
31-Jan-20,21714.48
29-Feb-20,21810.92
31-Mar-20,21903.64
30-Apr-20,22004.87
31-May-20,22139.59
30-Jun-20,22211.58
31-Jul-20,22321.88
31-Aug-20,22397.69
30-Sep-20,22490.61
31-Oct-20,22606.94
30-Nov-20,22707.9
31-Dec-20,22791.74
31-Jan-21,22881.01
28-Feb-21,22991.2
31-Mar-21,23080.25
30-Apr-21,23183.49
31-May-21,23284.18
30-Jun-21,23374.4
31-Jul-21,23506.56
31-Aug-21,23616.07
30-Sep-21,23685.69
31-Oct-21,23788.49
30-Nov-21,23878.56
31-Dec-21,23991.35
31-Jan-22,24079.46
28-Feb-22,24177.74
31-Mar-22,24285.32
30-Apr-22,24398.3
31-May-22,24480.3
30-Jun-22,24575.28
31-Jul-22,24668.16
31-Aug-22,24758.36
30-Sep-22,24884.84
31-Oct-22,24990.91
30-Nov-22,25072
31-Dec-22,25185.77
31-Jan-23,25317.6
28-Feb-23,25433.09
31-Mar-23,25510.3
30-Apr-23,25603.03
31-May-23,25722.04
30-Jun-23,25811.42
31-Jul-23,25918.08
31-Aug-23,26029.7
30-Sep-23,26115.8
31-Oct-23,26214.9
30-Nov-23,26266.28
31-Dec-23,26350.92
